cod_smsa,nome_cs,regional,n_setores,pop_total_ivs,pct_baixo,pct_medio,pct_elevado,pct_muito_elevado,ivs_predominante,ivs_score
4210,CENTRO DE SAUDE CIDADE OZANAN,NORDESTE,46,26688,86.95,12.35,0.7,0,Baixo,1.138
4220,CENTRO DE SAUDE DOM JOAQUIM,NORDESTE,10,5745,8.44,91.56,0,0,Médio,1.916
4230,CENTRO DE SAUDE GENTIL GOMES,NORDESTE,19,15151,14.36,85.64,0,0,Médio,1.856
4240,CENTRO DE SAUDE ALCIDES LINS,NORDESTE,41,20805,36.01,55.33,8.67,0,Médio,1.727
4250,CENTRO DE SAUDE SANTA CRUZ - PADRE FERNANDO DE MELLO,NORDESTE,24,17129,51.26,34.33,7.62,6.79,Baixo,1.699
4260,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO,NORDESTE,43,32280,60.66,36.34,3.01,0,Baixo,1.424
4270,CENTRO DE SAUDE SAO MARCOS,NORDESTE,15,9673,23.45,64.82,11.73,0,Médio,1.883
4280,CENTRO DE SAUDE SAO PAULO,NORDESTE,22,13475,0,81.5,17.06,1.44,Médio,2.199
4290,CENTRO DE SAUDE MARIA GORETTI,NORDESTE,22,15172,0,70.33,29.67,0,Médio,2.297
4300,CENTRO DE SAUDE GOIANIA,NORDESTE,29,19657,0,69.92,20.18,9.89,Médio,2.4
4310,CENTRO DE SAUDE SAO GABRIEL - FABIO CORREA LIMA,NORDESTE,17,14263,0,79.97,20.03,0,Médio,2.2
4320,CENTRO DE SAUDE VILA MARIA,NORDESTE,15,10894,0,5.57,75.29,19.14,Elevado,3.136
4330,CENTRO DE SAUDE NAZARE,NORDESTE,27,14354,0,45.2,53.22,1.58,Elevado,2.564
4340,CENTRO DE SAUDE PAULO VI - MARIVANDA BALEEIRO,NORDESTE,18,11109,0,28.6,60.07,11.33,Elevado,2.827
4350,CENTRO DE SAUDE CONJUNTO PAULO VI,NORDESTE,7,5379,0,0,46.42,53.58,Muito Elevado,3.536
4360,CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,NORDESTE,12,8472,0,43.83,39.12,17.06,Médio,2.732
4370,CENTRO DE SAUDE RIBEIRO DE ABREU,NORDESTE,12,7830,0,0,87.73,12.27,Elevado,3.123
4390,CENTRO DE SAUDE CAPITAO EDUARDO,NORDESTE,4,4039,0,0,53.03,46.97,Elevado,3.47
4410,CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,NORDESTE,11,8225,9.57,77.29,13.14,0,Médio,2.036
4430,CENTRO DE SAUDE OLAVO ALBINO CORREA,NORDESTE,15,10535,0,46.77,43.66,9.57,Médio,2.628
4640,CENTRO DE SAUDE JOAO VITAL,NORDESTE,3,1724,0,0,41.47,58.53,Muito Elevado,3.585
5200,CENTRO DE SAUDE BOM JESUS,NOROESTE,18,11397,4.82,95.18,0,0,Médio,1.952
5210,CENTRO DE SAUDE CALIFORNIA,NOROESTE,27,17462,15.27,54.23,21.09,9.41,Médio,2.246
5220,CENTRO DE SAUDE DOM BOSCO,NOROESTE,18,14206,3.07,96.93,0,0,Médio,1.969
5230,CENTRO DE SAUDE DOM CABRAL,NOROESTE,31,15532,66.77,20.16,13.07,0,Baixo,1.463
5240,CENTRO DE SAUDE ERMELINDA,NOROESTE,34,20615,14.56,49.37,27.13,8.94,Médio,2.304
5250,CENTRO DE SAUDE GLORIA,NOROESTE,19,11198,5.9,94.1,0,0,Médio,1.941
5270,CENTRO DE SAUDE JARDIM FILADELFIA,NOROESTE,18,10717,9.2,61.33,29.47,0,Médio,2.203
5280,CENTRO DE SAUDE JARDIM MONTANHES,NOROESTE,43,27006,68.92,31.08,0,0,Baixo,1.311
5290,CENTRO DE SAUDE JOAO PINHEIRO,NOROESTE,22,13144,26.8,73.2,0,0,Médio,1.732
5310,CENTRO DE SAUDE PADRE EUSTAQUIO,NOROESTE,48,24468,87.39,9.24,3.38,0,Baixo,1.16
5320,CENTRO DE SAUDE PEDREIRA PRADO LOPES,NOROESTE,18,9805,0,46.24,40.33,13.43,Médio,2.672
5350,CENTRO DE SAUDE SANTOS ANJOS,NOROESTE,29,16713,55.79,44.21,0,0,Baixo,1.442
5370,CENTRO DE SAUDE SAO CRISTOVAO,NOROESTE,18,8598,43.03,26.46,30.51,0,Baixo,1.875
5410,CENTRO DE SAUDE CARLOS PRATES,NOROESTE,62,34365,81.5,14.01,4.32,0.17,Baixo,1.232
5580,CENTRO DE SAUDE PINDORAMA ELZA MARTINS,NOROESTE,26,15455,0,66.02,27.65,6.33,Médio,2.403
5590,CENTRO DE SAUDE COQUEIROS,NOROESTE,20,17164,0,95.41,4.59,0,Médio,2.046
6200,CENTRO DE SAUDE PROVIDENCIA,NORTE,21,13405,0,89.85,10.15,0,Médio,2.101
6210,CENTRO DE SAUDE SAO BERNARDO - AMELIA ROCHA DE MELO,NORTE,10,7323,0,25.41,53.8,20.78,Elevado,2.954
6220,CENTRO DE SAUDE PRIMEIRO DE MAIO,NORTE,16,8555,0,26.65,71.28,2.07,Elevado,2.754
6230,CENTRO DE SAUDE CAMPO ALEGRE,NORTE,28,16226,40.13,47.96,11.91,0,Médio,1.718
6240,CENTRO DE SAUDE FLORAMAR,NORTE,13,8846,0,92.2,7.8,0,Médio,2.078
6250,CENTRO DE SAUDE TUPI,NORTE,12,9436,0,37.63,62.37,0,Elevado,2.624
6260,CENTRO DE SAUDE JARDIM GUANABARA,NORTE,22,15018,1.31,71.02,22.13,5.55,Médio,2.319
6270,CENTRO DE SAUDE JAQUELINE,NORTE,7,6605,0,87.34,0,12.66,Médio,2.253
6280,CENTRO DE SAUDE AARAO REIS,NORTE,17,11639,6.74,67.56,25.7,0,Médio,2.19
6290,CENTRO DE SAUDE ETELVINA CARNEIRO,NORTE,24,12621,0,44.91,37.91,17.18,Médio,2.723
6300,CENTRO DE SAUDE JARDIM FELICIDADE,NORTE,15,10854,0,11.8,27.64,60.56,Muito Elevado,3.488
6310,CENTRO DE SAUDE GUARANI,NORTE,14,9703,0,95.27,4.73,0,Médio,2.047
6320,CENTRO DE SAUDE HELIOPOLIS,NORTE,26,15772,28.82,52.31,10.44,8.43,Médio,1.985
6340,CENTRO DE SAUDE MG-20,NORTE,11,7287,0,0,79.85,20.15,Elevado,3.201
6360,CENTRO DE SAUDE LAJEDO,NORTE,19,12761,0,18.79,58.39,22.82,Elevado,3.04
6370,CENTRO DE SAUDE FELICIDADE II,NORTE,9,7904,0,0,73.92,26.08,Elevado,3.261
6400,CENTRO DE SAUDE NOVO AARAO REIS,NORTE,8,8287,0,0,43.48,56.52,Muito Elevado,3.565
6420,CENTRO DE SAUDE SAO TOMAZ,NORTE,22,12150,37.89,14.4,26.49,21.23,Baixo,2.31
6430,CENTRO DE SAUDE JAQUELINE II,NORTE,15,9872,0,29.11,70.08,0.81,Elevado,2.717
6550,CENTRO DE SAUDE ZILAH SPOSITO,NORTE,6,4583,0,18.59,40.69,40.72,Muito Elevado,3.221
7200,CENTRO DE SAUDE BETANIA,OESTE,14,8634,13.31,71.89,14.8,0,Médio,2.015
7210,CENTRO DE SAUDE VILA LEONINA,OESTE,34,21941,47.55,6.4,19.86,26.18,Baixo,2.247
7220,CENTRO DE SAUDE HAVAI,OESTE,37,24615,62.43,22.01,13.28,2.29,Baixo,1.554
7230,CENTRO DE SAUDE NORALDINO DE LIMA,OESTE,60,38106,93.78,2.66,0.57,2.99,Baixo,1.128
7240,CENTRO DE SAUDE CICERO IDELFONSO,OESTE,25,13411,0,27.84,43.76,28.4,Elevado,3.006
7250,CENTRO DE SAUDE VISTA ALEGRE,OESTE,21,14015,0,70.85,28.66,0.49,Médio,2.296
7260,CENTRO DE SAUDE SAO JORGE,OESTE,73,43711,80.19,3.94,10.62,5.25,Baixo,1.409
7270,CENTRO DE SAUDE WALDOMIRO LOBO,OESTE,14,6844,0,7.13,74.27,18.6,Elevado,3.115
7280,CENTRO DE SAUDE VILA IMPERIAL,OESTE,26,11272,8.07,34.43,42.5,14.99,Elevado,2.644
7300,CENTRO DE SAUDE CABANA,OESTE,38,19226,24.94,39.83,24.4,10.83,Médio,2.211
7310,CENTRO DE SAUDE VENTOSA,OESTE,50,24483,42.98,24.14,24.45,8.44,Baixo,1.983
7320,CENTRO DE SAUDE PALMEIRAS,OESTE,21,16379,57.55,32.9,9.55,0,Baixo,1.52
7330,CENTRO DE SAUDE CONJUNTO BETANIA,OESTE,13,9727,13.16,86.84,0,0,Médio,1.868
7340,CENTRO DE SAUDE SALGADO FILHO,OESTE,36,20556,35.11,47.87,14.45,2.57,Médio,1.845
7400,CENTRO DE SAUDE AMILCAR VIANA MARTINS,OESTE,16,11741,19.58,63.06,17.36,0,Médio,1.978
7470,CENTRO DE SAUDE SANTA MARIA,OESTE,12,9199,8.32,78.22,13.47,0,Médio,2.052
7480,CENTRO DE SAUDE JOAO XXIII,OESTE,8,3079,0,81.23,18.77,0,Médio,2.188
7500,CENTRO DE SAUDE CAMARGOS,OESTE,15,10955,43.35,56.65,0,0,Médio,1.566
8200,CENTRO DE SAUDE CONFISCO,PAMPULHA,17,11912,0,39.2,60.8,0,Elevado,2.608
8210,CENTRO DE SAUDE DOM ORIONE,PAMPULHA,28,15404,80.25,15.77,3.3,0.68,Baixo,1.244
8220,CENTRO DE SAUDE ITAMARATI,PAMPULHA,21,13771,76.81,18.09,5.1,0,Baixo,1.283
8230,CENTRO DE SAUDE SANTA ROSA,PAMPULHA,40,21988,65.61,19.81,14.3,0.27,Baixo,1.492
8240,CENTRO DE SAUDE SANTA TEREZINHA,PAMPULHA,31,20745,28.26,64.18,7.56,0,Médio,1.793
8250,CENTRO DE SAUDE OURO PRETO,PAMPULHA,28,13898,57.89,22.91,14.44,4.76,Baixo,1.661
8260,CENTRO DE SAUDE SAO FRANCISCO,PAMPULHA,9,3921,0,73.22,0,26.78,Médio,2.536
8270,CENTRO DE SAUDE SANTA AMELIA,PAMPULHA,63,39186,82.11,15.87,0.56,1.46,Baixo,1.214
8280,CENTRO DE SAUDE PADRE JOAQUIM MAIA,PAMPULHA,31,17784,77.56,17.08,5.36,0,Baixo,1.278
8390,CENTRO DE SAUDE JARDIM ALVORADA,PAMPULHA,28,11154,0,58.95,33.02,8.03,Médio,2.491
8400,CENTRO DE SAUDE SERRANO,PAMPULHA,40,26138,74.83,22.62,2.55,0,Baixo,1.277
8410,CENTRO DE SAUDE SAO JOSE,PAMPULHA,19,10218,14.83,40.22,17.65,27.3,Médio,2.574
8440,CENTRO DE SAUDE TREVO,PAMPULHA,14,8370,5.94,60.17,10.36,23.54,Médio,2.515
8460,CENTRO DE SAUDE PADRE TIAGO,PAMPULHA,23,11547,21.01,31.32,31.17,16.51,Médio,2.432
9200,CENTRO DE SAUDE CEU AZUL,VENDA NOVA,24,18860,0,73.01,22.51,4.48,Médio,2.315
9210,CENTRO DE SAUDE JARDIM EUROPA,VENDA NOVA,25,15197,0,69.2,28.55,2.26,Médio,2.331
9220,CENTRO DE SAUDE JARDIM LEBLON,VENDA NOVA,32,15045,0,43.7,27.35,28.95,Médio,2.853
9230,CENTRO DE SAUDE LAGOA,VENDA NOVA,23,14949,0,25.94,70.69,3.36,Elevado,2.774
9240,CENTRO DE SAUDE MANTIQUEIRA,VENDA NOVA,22,16124,0,29.22,68.54,2.23,Elevado,2.73
9250,CENTRO DE SAUDE MINAS CAIXA,VENDA NOVA,23,16710,0,59.9,40.1,0,Médio,2.401
9260,CENTRO DE SAUDE SANTA MONICA,VENDA NOVA,24,15844,5.26,79.71,3.17,11.86,Médio,2.216
9270,CENTRO DE SAUDE SERRA VERDE,VENDA NOVA,23,16533,0,71.45,26.13,2.42,Médio,2.31
9280,CENTRO DE SAUDE PARAUNA - VENDA NOVA,VENDA NOVA,27,20030,0,89.24,5.38,5.39,Médio,2.162
9290,CENTRO DE SAUDE RIO BRANCO,VENDA NOVA,29,20659,2.52,86.28,11.2,0,Médio,2.087
9300,CENTRO DE SAUDE ANDRADAS,VENDA NOVA,29,18037,10.8,74.46,8.08,6.66,Médio,2.106
9340,CENTRO DE SAUDE PIRATININGA,VENDA NOVA,30,16622,0,60.35,32.61,7.04,Médio,2.467
9350,CENTRO DE SAUDE NOVA YORK,VENDA NOVA,19,12476,0,13.01,66.12,20.87,Elevado,3.079
9380,CENTRO DE SAUDE COPACABANA,VENDA NOVA,25,14899,9.19,68.76,6.29,15.76,Médio,2.286
9390,CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,VENDA NOVA,18,12196,0,30.06,68.92,1.02,Elevado,2.71
9410,CENTRO DE SAUDE SANTO ANTONIO,VENDA NOVA,22,12487,0,97.81,2.19,0,Médio,2.022
9520,CENTRO DE SAUDE SANTA MONICA II - ALAMEDA DOS IPES,VENDA NOVA,14,9878,35.58,48.19,7.52,8.71,Médio,1.894
